factor,model_a,model_b,model_id_a,model_id_b,A_S_a,A_S_b,delta_A_S,delta_A_S_pp,delta_RA,delta_RA_pp,delta_II,delta_II_pp,delta_PFC,delta_PFC_pp,delta_PSC,delta_PSC_pp
attribute,Skywork,LLaVA,skywork_vl_reward_7b,llava_onevision_qwen2_7b,0.93,0.805,0.125,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,Skywork,InternVL,skywork_vl_reward_7b,internvl3_8b_hf,0.93,0.855,0.07500000000000007,7.500000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,Idefics3,Phi,idefics3_8b_llama3,phi35_vision_instruct,0.765,0.805,0.040000000000000036,4.0000000000000036,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004
attribute,Idefics3,LLaVA,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.765,0.805,0.040000000000000036,4.0000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,Idefics3,InternVL,idefics3_8b_llama3,internvl3_8b_hf,0.765,0.855,0.08999999999999997,8.999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attribute,Phi,LLaVA,phi35_vision_instruct,llava_onevision_qwen2_7b,0.805,0.805,0.0,0.0,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004
attribute,Phi,InternVL,phi35_vision_instruct,internvl3_8b_hf,0.805,0.855,0.04999999999999993,4.999999999999993,0.15053763440860213,15.053763440860212,0.10752688172043012,10.752688172043012,0.20999999999999996,20.999999999999996,0.17000000000000004,17.000000000000004
attribute,LLaVA,InternVL,llava_onevision_qwen2_7b,internvl3_8b_hf,0.805,0.855,0.04999999999999993,4.999999999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
count,Qwen,Gemma,qwen3_vl_4b_instruct,gemma3_4b_it,0.915,0.385,0.53,53.0,0.15413793103448273,15.413793103448272,0.12413793103448278,12.413793103448278,0.06499999999999997,6.499999999999997,0.365,36.5
count,Qwen,Molmo,qwen3_vl_4b_instruct,molmo_7b_d_0924,0.915,0.625,0.29000000000000004,29.000000000000004,0.01627450980392156,1.627450980392156,0.02941176470588236,2.941176470588236,0.07500000000000001,7.500000000000001,0.505,50.5
count,Qwen,Skywork,qwen3_vl_4b_instruct,skywork_vl_reward_7b,0.915,0.76,0.15500000000000003,15.500000000000004,0.45814070351758795,45.814070351758794,0.01005025125628145,1.005025125628145,0.45499999999999996,45.49999999999999,0.015000000000000013,1.5000000000000013
count,Qwen,Idefics3,qwen3_vl_4b_instruct,idefics3_8b_llama3,0.915,0.815,0.10000000000000009,10.000000000000009,0.5442857142857143,54.42857142857142,0.042328042328042326,4.232804232804233,0.505,50.5,0.09499999999999997,9.499999999999996
count,Qwen,Phi,qwen3_vl_4b_instruct,phi35_vision_instruct,0.915,0.635,0.28,28.000000000000004,0.03,3.0,0.048484848484848464,4.848484848484846,0.0050000000000000044,0.5000000000000004,0.21499999999999997,21.499999999999996
count,Qwen,LLaVA,qwen3_vl_4b_instruct,llava_onevision_qwen2_7b,0.915,0.785,0.13,13.0,0.25076502732240435,25.076502732240435,0.010928961748633892,1.0928961748633892,0.215,21.5,0.09499999999999997,9.499999999999996
count,Qwen,InternVL,qwen3_vl_4b_instruct,internvl3_8b_hf,0.915,0.69,0.2250000000000001,22.500000000000007,0.009999999999999981,0.9999999999999981,0.0,0.0,0.009999999999999981,0.9999999999999981,0.0,0.0
count,Gemma,Molmo,gemma3_4b_it,molmo_7b_d_0924,0.385,0.625,0.24,24.0,0.13786342123056117,13.786342123056116,0.09472616632860043,9.472616632860042,0.13999999999999999,13.999999999999998,0.14,14.000000000000002
count,Gemma,Skywork,gemma3_4b_it,skywork_vl_reward_7b,0.385,0.76,0.375,37.5,0.30400277248310525,30.400277248310527,0.11408767977820133,11.408767977820133,0.39,39.0,0.35,35.0
count,Gemma,Idefics3,gemma3_4b_it,idefics3_8b_llama3,0.385,0.815,0.42999999999999994,42.99999999999999,0.39014778325123156,39.01477832512315,0.08180988870644046,8.180988870644047,0.44000000000000006,44.00000000000001,0.27,27.0
count,Gemma,Phi,gemma3_4b_it,phi35_vision_instruct,0.385,0.635,0.25,25.0,0.12413793103448273,12.413793103448272,0.07565308254963432,7.565308254963432,0.06999999999999998,6.999999999999998,0.15000000000000002,15.000000000000002
count,Gemma,LLaVA,gemma3_4b_it,llava_onevision_qwen2_7b,0.385,0.785,0.4,40.0,0.09662709628792165,9.662709628792165,0.11320896928584889,11.32089692858489,0.15000000000000002,15.000000000000002,0.27,27.0
