factor,threshold_pp,model_a,model_b,delta_A_pp,delta_PFC,delta_PSC,delta_U8
presence,2,molmo_7b_d_0924,llava_onevision_qwen2_7b,1.4685766130826394,-0.07228932143602212,-0.03935311947862852,-0.07520101764594422
presence,3,molmo_7b_d_0924,llava_onevision_qwen2_7b,1.4685766130826394,-0.07228932143602212,-0.03935311947862852,-0.07520101764594422
presence,3,skywork_vl_reward_7b,idefics3_8b_llama3,2.2699134021395007,-0.09073216651516558,0.055015093712625696,-0.0032545770174875477
presence,2,skywork_vl_reward_7b,internvl3_8b_hf,1.760673569789395,0.1031989856363763,0.1579859384493446,0.03951782818108185
presence,3,skywork_vl_reward_7b,internvl3_8b_hf,1.760673569789395,0.1031989856363763,0.1579859384493446,0.03951782818108185
presence,2,skywork_vl_reward_7b,llava_onevision_qwen2_7b,1.6848791998550716,0.00032441486632706074,0.12636868711358062,-0.06604903387811156
presence,3,skywork_vl_reward_7b,llava_onevision_qwen2_7b,1.6848791998550716,0.00032441486632706074,0.12636868711358062,-0.06604903387811156
presence,1,idefics3_8b_llama3,internvl3_8b_hf,0.5092398323501057,0.19393115215154189,0.10297084473671891,0.042772405198569396
presence,2,idefics3_8b_llama3,internvl3_8b_hf,0.5092398323501057,0.19393115215154189,0.10297084473671891,0.042772405198569396
presence,3,idefics3_8b_llama3,internvl3_8b_hf,0.5092398323501057,0.19393115215154189,0.10297084473671891,0.042772405198569396
presence,1,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.585034202284429,0.09105658138149264,0.07135359340095493,-0.06279445686062401
presence,2,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.585034202284429,0.09105658138149264,0.07135359340095493,-0.06279445686062401
presence,3,idefics3_8b_llama3,llava_onevision_qwen2_7b,0.585034202284429,0.09105658138149264,0.07135359340095493,-0.06279445686062401
presence,1,internvl3_8b_hf,llava_onevision_qwen2_7b,0.07579436993432331,-0.10287457077004925,-0.031617251335763985,-0.10556686205919341
presence,2,internvl3_8b_hf,llava_onevision_qwen2_7b,0.07579436993432331,-0.10287457077004925,-0.031617251335763985,-0.10556686205919341
presence,3,internvl3_8b_hf,llava_onevision_qwen2_7b,0.07579436993432331,-0.10287457077004925,-0.031617251335763985,-0.10556686205919341
